code	description	type
B390	Acute pulmonary histoplasmosis capsulati	icd10
B391	Chronic pulmonary histoplasmosis capsulati	icd10
B392	Pulmonary histoplasmosis capsulati, unspecified	icd10
B393	Disseminated histoplasmosis capsulati	icd10
B394	Histoplasmosis capsulati, unspecified	icd10
B395	Histoplasmosis duboisii	icd10
B399	Histoplasmosis, unspecified	icd10
B40	Blastomycosis	icd10
B400	Acute pulmonary blastomycosis	icd10
B401	Chronic pulmonary blastomycosis	icd10
B402	Pulmonary blastomycosis, unspecified	icd10
B403	Cutaneous blastomycosis	icd10
B407	Disseminated blastomycosis	icd10
B408	Other forms of blastomycosis	icd10
B409	Blastomycosis, unspecified	icd10
B41	Paracoccidioidomycosis	icd10
B410	Pulmonary paracoccidioidomycosis	icd10
B417	Disseminated paracoccidioidomycosis	icd10
B418	Other forms of paracoccidioidomycosis	icd10
B419	Paracoccidioidomycosis, unspecified	icd10
B42	Sporotrichosis	icd10
B420	Pulmonary sporotrichosis	icd10
B421	Lymphocutaneous sporotrichosis	icd10
B427	Disseminated sporotrichosis	icd10
B428	Other forms of sporotrichosis	icd10
B429	Sporotrichosis, unspecified	icd10
B43	Chromomycosis and phaeomycotic abscess	icd10
B430	Cutaneous chromomycosis	icd10
B431	Phaeomycotic brain abscess	icd10
B432	Subcutaneous phaeomycotic abscess and cyst	icd10
B438	Other forms of chromomycosis	icd10
B439	Chromomycosis, unspecified	icd10
B44	Aspergillosis	icd10
B440	Invasive pulmonary aspergillosis	icd10
B441	Other pulmonary aspergillosis	icd10
B442	Tonsillar aspergillosis	icd10
B447	Disseminated aspergillosis	icd10
B448	Other forms of aspergillosis	icd10
B449	Aspergillosis, unspecified	icd10
B45	Cryptococcosis	icd10
B450	Pulmonary cryptococcosis	icd10
B451	Cerebral cryptococcosis	icd10
B452	Cutaneous cryptococcosis	icd10
B453	Osseous cryptococcosis	icd10
B457	Disseminated cryptococcosis	icd10
B458	Other forms of cryptococcosis	icd10
B459	Cryptococcosis, unspecified	icd10
B46	Zygomycosis	icd10
B460	Pulmonary mucormycosis	icd10
B461	Rhinocerebral mucormycosis	icd10
B462	Gastrointestinal mucormycosis	icd10
B463	Cutaneous mucormycosis	icd10
B464	Disseminated mucormycosis	icd10
B465	Mucormycosis, unspecified	icd10
B468	Other zygomycoses	icd10
B469	Zygomycosis, unspecified	icd10
B47	Mycetoma	icd10
B470	Eumycetoma	icd10
B471	Actinomycetoma	icd10
B479	Mycetoma, unspecified	icd10
B48	Other mycoses, not elsewhere classified	icd10
B480	Lobomycosis	icd10
B481	Rhinosporidiosis	icd10
B482	Allescheriasis	icd10
B483	Geotrichosis	icd10
B484	Penicillosis	icd10
B485	Pneumocystosis	icd10
B487	Opportunistic mycoses	icd10
B488	Other specified mycoses	icd10
B49	Unspecified mycosis	icd10
B50	Plasmodium falciparum malaria	icd10
B500	Plasmodium falciparum malaria with cerebral complications	icd10
B508	Other severe and complicated Plasmodium falciparum malaria	icd10
B509	Plasmodium falciparum malaria, unspecified	icd10
B51	Plasmodium vivax malaria	icd10
B510	Plasmodium vivax malaria with rupture of spleen	icd10
B518	Plasmodium vivax malaria with other complications	icd10
B519	Plasmodium vivax malaria without complication	icd10
B52	Plasmodium malariae malaria	icd10
B520	Plasmodium malariae malaria with nephropathy	icd10
B528	Plasmodium malariae malaria with other complications	icd10
B529	Plasmodium malariae malaria without complication	icd10
B53	Other parasitologically confirmed malaria	icd10
B530	Plasmodium ovale malaria	icd10
B531	Malaria due to simian plasmodia	icd10
B538	Other parasitologically confirmed malaria, not elsewhere classified	icd10
B54	Unspecified malaria	icd10
B55	Leishmaniasis	icd10
B550	Visceral leishmaniasis	icd10
B551	Cutaneous leishmaniasis	icd10
B552	Mucocutaneous leishmaniasis	icd10
B559	Leishmaniasis, unspecified	icd10
B56	African trypanosomiasis	icd10
B560	Gambiense trypanosomiasis	icd10
B561	Rhodesiense trypanosomiasis	icd10
B569	African trypanosomiasis, unspecified	icd10
B57	Chagas disease	icd10
B570	Acute Chagas disease with heart involvement	icd10
B571	Acute Chagas disease without heart involvement	icd10
B572	Chagas disease (chronic) with heart involvement	icd10
B573	Chagas disease (chronic) with digestive system involvement	icd10
B574	Chagas disease (chronic) with nervous system involvement	icd10
B575	Chagas disease (chronic) with other organ involvement	icd10
B58	Toxoplasmosis	icd10
B580	Toxoplasma oculopathy	icd10
B581	Toxoplasma hepatitis	icd10
B582	Toxoplasma meningoencephalitis	icd10
B583	Pulmonary toxoplasmosis	icd10
B588	Toxoplasmosis with other organ involvement	icd10
B589	Toxoplasmosis, unspecified	icd10
B60	Other protozoal diseases, not elsewhere classified	icd10
B600	Babesiosis	icd10
B601	Acanthamoebiasis	icd10
B602	Naegleriasis	icd10
B608	Other specified protozoal diseases	icd10
B64	Unspecified protozoal disease	icd10
B65	Schistosomiasis [bilharziasis]	icd10
B650	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]	icd10
B651	Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]	icd10
B652	Schistosomiasis due to Schistosoma japonicum	icd10
B653	Cercarial dermatitis	icd10
B658	Other schistosomiases	icd10
B659	Schistosomiasis, unspecified	icd10
B66	Other fluke infections	icd10
B660	Opisthorchiasis	icd10
B661	Clonorchiasis	icd10
B662	Dicrocoeliasis	icd10
B663	Fascioliasis	icd10
B664	Paragonimiasis	icd10
B665	Fasciolopsiasis	icd10
B668	Other specified fluke infections	icd10
B669	Fluke infection, unspecified	icd10
B67	Echinococcosis	icd10
B670	Echinococcus granulosus infection of liver	icd10
B671	Echinococcus granulosus infection of lung	icd10
B672	Echinococcus granulosus infection of bone	icd10
B673	Echinococcus granulosus infection, other and multiple sites	icd10
B674	Echinococcus granulosus infection, unspecified	icd10
B675	Echinococcus multilocularis infection of liver	icd10
B676	Echinococcus multilocularis infection, other and multiple sites	icd10
B677	Echinococcus multilocularis infection, unspecified	icd10
B678	Echinococcosis, unspecified, of liver	icd10
B679	Echinococcosis, other and unspecified	icd10
B68	Taeniasis	icd10
B680	Taenia solium taeniasis	icd10
B681	Taenia saginata taeniasis	icd10
B689	Taeniasis, unspecified	icd10
B69	Cysticercosis	icd10
B690	Cysticercosis of central nervous system	icd10
B691	Cysticercosis of eye	icd10
B698	Cysticercosis of other sites	icd10
B699	Cysticercosis, unspecified	icd10
B70	Diphyllobothriasis and sparganosis	icd10
B700	Diphyllobothriasis	icd10
B701	Sparganosis	icd10
B71	Other cestode infections	icd10
B710	Hymenolepiasis	icd10
B711	Dipylidiasis	icd10
B718	Other specified cestode infections	icd10
B719	Cestode infection, unspecified	icd10
B72	Dracunculiasis	icd10
B73	Onchocerciasis	icd10
B74	Filariasis	icd10
B740	Filariasis due to Wuchereria bancrofti	icd10
B741	Filariasis due to Brugia malayi	icd10
B742	Filariasis due to Brugia timori	icd10
B743	Loiasis	icd10
B744	Mansonelliasis	icd10
B748	Other filariases	icd10
B749	Filariasis, unspecified	icd10
B75	Trichinellosis	icd10
B76	Hookworm diseases	icd10
B760	Ancylostomiasis	icd10
B761	Necatoriasis	icd10
B768	Other hookworm diseases	icd10
B769	Hookworm disease, unspecified	icd10
B77	Ascariasis	icd10
B770	Ascariasis with intestinal complications	icd10
B778	Ascariasis with other complications	icd10
B779	Ascariasis, unspecified	icd10
B78	Strongyloidiasis	icd10
B780	Intestinal strongyloidiasis	icd10
B781	Cutaneous strongyloidiasis	icd10
B787	Disseminated strongyloidiasis	icd10
B789	Strongyloidiasis, unspecified	icd10
B79	Trichuriasis	icd10
B80	Enterobiasis	icd10
B81	Other intestinal helminthiases, not elsewhere classified	icd10
B810	Anisakiasis	icd10
B811	Intestinal capillariasis	icd10
B812	Trichostrongyliasis	icd10
B813	Intestinal angiostrongyliasis	icd10
B814	Mixed intestinal helminthiases	icd10
B818	Other specified intestinal helminthiases	icd10
B82	Unspecified intestinal parasitism	icd10
B820	Intestinal helminthiasis, unspecified	icd10
B829	Intestinal parasitism, unspecified	icd10
B83	Other helminthiases	icd10
B830	Visceral larva migrans	icd10
B831	Gnathostomiasis	icd10
B832	Angiostrongyliasis due to Parastrongylus cantonensis	icd10
B833	Syngamiasis	icd10
B834	Internal hirudiniasis	icd10
B838	Other specified helminthiases	icd10
B839	Helminthiasis, unspecified	icd10
B85	Pediculosis and phthiriasis	icd10
B850	Pediculosis due to Pediculus humanus capitis	icd10
B851	Pediculosis due to Pediculus humanus corporis	icd10
B852	Pediculosis, unspecified	icd10
B853	Phthiriasis	icd10
B854	Mixed pediculosis and phthiriasis	icd10
B86	Scabies	icd10
B87	Myiasis	icd10
B870	Cutaneous myiasis	icd10
B871	Wound myiasis	icd10
B872	Ocular myiasis	icd10
B873	Nasopharyngeal myiasis	icd10
B874	Aural myiasis	icd10
B878	Myiasis of other sites	icd10
B879	Myiasis, unspecified	icd10
B88	Other infestations	icd10
B880	Other acariasis	icd10
B881	Tungiasis [sandflea infestation]	icd10
B882	Other arthropod infestations	icd10
B883	External hirudiniasis	icd10
B888	Other specified infestations	icd10
B889	Infestation, unspecified	icd10
B89	Unspecified parasitic disease	icd10
B90	Sequelae of tuberculosis	icd10
B900	Sequelae of central nervous system tuberculosis	icd10
B901	Sequelae of genitourinary tuberculosis	icd10
B902	Sequelae of tuberculosis of bones and joints	icd10
B908	Sequelae of tuberculosis of other organs	icd10
B909	Sequelae of respiratory and unspecified tuberculosis	icd10
B91	Sequelae of poliomyelitis	icd10
B92	Sequelae of leprosy	icd10
B94	Sequelae of other and unspecified infectious and parasitic diseases	icd10
B940	Sequelae of trachoma	icd10
B941	Sequelae of viral encephalitis	icd10
B942	Sequelae of viral hepatitis	icd10
B948	Sequelae of other specified infectious and parasitic diseases	icd10
B949	Sequelae of unspecified infectious or parasitic disease	icd10
B95	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	icd10
B950	Streptococcus, group A, as the cause of diseases classified to other chapters	icd10
B951	Streptococcus, group B, as the cause of diseases classified to other chapters	icd10
B952	Streptococcus group D and enterococcus as the cause of diseases classified to other chapters	icd10
B953	Streptococcus pneumoniae as the cause of diseases classified to other chapters	icd10
B954	Other streptococcus as the cause of diseases classified to other chapters	icd10
B955	Unspecified streptococcus as the cause of diseases classified to other chapters	icd10
B956	Staphylococcus aureus as the cause of diseases classified to other chapters	icd10
B957	Other staphylococcus as the cause of diseases classified to other chapters	icd10
B958	Unspecified staphylococcus as the cause of diseases classified to other chapters	icd10
B96	Other specified bacterial agents as the cause of diseases classified to other chapters	icd10
B960	Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters	icd10
B961	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters	icd10
B962	Escherichia coli [E. coli] as the cause of diseases classified to other chapters	icd10
B963	Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters	icd10
B964	Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters	icd10
B965	Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters	icd10
B966	Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters	icd10
B967	Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters	icd10
B968	Other specified bacterial agents as the cause of diseases classified to other chapters	icd10
B97	Viral agents as the cause of diseases classified to other chapters	icd10
B970	Adenovirus as the cause of diseases classified to other chapters	icd10
B971	Enterovirus as the cause of diseases classified to other chapters	icd10
B972	Coronavirus as the cause of diseases classified to other chapters	icd10
B973	Retrovirus as the cause of diseases classified to other chapters	icd10
B974	Respiratory syncytial virus as the cause of diseases classified to other chapters	icd10
B975	Reovirus as the cause of diseases classified to other chapters	icd10
B976	Parvovirus as the cause of diseases classified to other chapters	icd10
B977	Papillomavirus as the cause of diseases classified to other chapters	icd10
B978	Other viral agents as the cause of diseases classified to other chapters	icd10
B98	Other specified infectious agents as the cause of diseases classified to other chapters	icd10
B980	Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters	icd10
B981	Vibrio vulnificus as the cause of diseases classified to other chapters	icd10
B99	Other and unspecified infectious diseases	icd10
C00	Malignant neoplasm of lip	icd10
C000	Malignant neoplasm: External upper lip	icd10
C001	Malignant neoplasm: External lower lip	icd10
C002	Malignant neoplasm: External lip, unspecified	icd10
C003	Malignant neoplasm: Upper lip, inner aspect	icd10
C004	Malignant neoplasm: Lower lip, inner aspect	icd10
C005	Malignant neoplasm: Lip, unspecified, inner aspect	icd10
C006	Malignant neoplasm: Commissure of lip	icd10
C008	Malignant neoplasm: Overlapping lesion of lip	icd10
C009	Malignant neoplasm: Lip, unspecified	icd10
C01	Malignant neoplasm of base of tongue	icd10
C02	Malignant neoplasm of other and unspecified parts of tongue	icd10
C020	Malignant neoplasm: Dorsal surface of tongue	icd10
C021	Malignant neoplasm: Border of tongue	icd10
C022	Malignant neoplasm: Ventral surface of tongue	icd10
C023	Malignant neoplasm: Anterior two-thirds of tongue, part unspecified	icd10
C024	Malignant neoplasm: Lingual tonsil	icd10
C028	Malignant neoplasm: Overlapping lesion of tongue	icd10
C029	Malignant neoplasm: Tongue, unspecified	icd10
C03	Malignant neoplasm of gum	icd10
C030	Malignant neoplasm: Upper gum	icd10
C031	Malignant neoplasm: Lower gum	icd10
C039	Malignant neoplasm: Gum, unspecified	icd10
C04	Malignant neoplasm of floor of mouth	icd10
C040	Malignant neoplasm: Anterior floor of mouth	icd10
C041	Malignant neoplasm: Lateral floor of mouth	icd10
C048	Malignant neoplasm: Overlapping lesion of floor of mouth	icd10
C049	Malignant neoplasm: Floor of mouth, unspecified	icd10
C05	Malignant neoplasm of palate	icd10
C050	Malignant neoplasm: Hard palate	icd10
C051	Malignant neoplasm: Soft palate	icd10
C052	Malignant neoplasm: Uvula	icd10
C058	Malignant neoplasm: Overlapping lesion of palate	icd10
C059	Malignant neoplasm: Palate, unspecified	icd10
C06	Malignant neoplasm of other and unspecified parts of mouth	icd10
C060	Malignant neoplasm: Cheek mucosa	icd10
C061	Malignant neoplasm: Vestibule of mouth	icd10
C062	Malignant neoplasm: Retromolar area	icd10
C068	Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth	icd10
C069	Malignant neoplasm: Mouth, unspecified	icd10
C07	Malignant neoplasm of parotid gland	icd10
C08	Malignant neoplasm of other and unspecified major salivary glands	icd10
C080	Malignant neoplasm: Submandibular gland	icd10
C081	Malignant neoplasm: Sublingual gland	icd10
C088	Malignant neoplasm: Overlapping lesion of major salivary glands	icd10
C089	Malignant neoplasm: Major salivary gland, unspecified	icd10
C09	Malignant neoplasm of tonsil	icd10
C090	Malignant neoplasm: Tonsillar fossa	icd10
C091	Malignant neoplasm: Tonsillar pillar (anterior)(posterior)	icd10
C098	Malignant neoplasm: Overlapping lesion of tonsil	icd10
C099	Malignant neoplasm: Tonsil, unspecified	icd10
C10	Malignant neoplasm of oropharynx	icd10
C100	Malignant neoplasm: Vallecula	icd10
C101	Malignant neoplasm: Anterior surface of epiglottis	icd10
C102	Malignant neoplasm: Lateral wall of oropharynx	icd10
C103	Malignant neoplasm: Posterior wall of oropharynx	icd10
C104	Malignant neoplasm: Branchial cleft	icd10
C108	Malignant neoplasm: Overlapping lesion of oropharynx	icd10
C109	Malignant neoplasm: Oropharynx, unspecified	icd10
C11	Malignant neoplasm of nasopharynx	icd10
C110	Malignant neoplasm: Superior wall of nasopharynx	icd10
C111	Malignant neoplasm: Posterior wall of nasopharynx	icd10
